age_group,education,Risk_Score
45 - 54 Years,< 12 Years,0.6848568369683592
18 - 34 Years,12 Years,0.6586401321158162
45 - 54 Years,12 Years,0.6520400963387667
35 - 44 Years,12 Years,0.6476217051010336
35 - 44 Years,Some College,0.6341952382383399
18 - 34 Years,< 12 Years,0.6271958768006856
65+ Years,< 12 Years,0.6166385717023491
35 - 44 Years,< 12 Years,0.6126281492189045
45 - 54 Years,Some College,0.6094258671670963
18 - 34 Years,Some College,0.6083623723579298
55 - 64 Years,< 12 Years,0.6049905744977263
65+ Years,12 Years,0.5933016032296076
55 - 64 Years,12 Years,0.5822230673396822
45 - 54 Years,College Graduate,0.571981042872901
65+ Years,Some College,0.5649522922473202
35 - 44 Years,College Graduate,0.5566035001763896
55 - 64 Years,Some College,0.554022879585409
18 - 34 Years,College Graduate,0.5476167900250862
65+ Years,College Graduate,0.5148485039805655
55 - 64 Years,College Graduate,0.5075360983610234
